c,L,instance,realization,payoff
0.4,12,1,10,822.3610775285778
0.4,12,1,11,820.8364385059886
0.4,12,1,12,806.9663555070993
0.4,12,1,13,816.8261026733956
0.4,12,1,14,812.0295804769864
0.4,12,1,15,809.1560843971415
0.4,12,1,16,818.5438216188588
0.4,12,1,17,838.5727886732516
0.4,12,1,18,813.8002334927152
0.4,12,1,19,804.1049037823445
0.4,12,1,20,804.4947496157542
0.4,12,1,21,823.1398718043131
0.4,12,1,22,820.402392638671
0.4,12,1,23,822.7855298296682
0.4,12,1,24,809.2270089639762
0.4,12,1,25,817.6012363053519
0.4,12,1,26,832.0140771365132
0.4,12,1,27,820.7699846797727
0.4,12,1,28,823.0443405023401
0.4,12,1,29,811.7409858034771
0.5,0,1,0,870.0273661511794
0.5,0,1,1,843.9612130444435
0.5,0,1,2,854.8330385204388
0.5,0,1,3,853.8651168629276
0.5,0,1,4,872.643927761193
0.5,0,1,5,836.820194576607
0.5,0,1,6,847.8585747935633
0.5,0,1,7,861.4509303395604
0.5,0,1,8,843.6431616588427
0.5,0,1,9,854.902691857762
0.5,0,1,10,854.0479048521679
0.5,0,1,11,852.051517454444
0.5,0,1,12,849.8272691435806
0.5,0,1,13,853.3036347313385
0.5,0,1,14,844.844116989895
0.5,0,1,15,837.347283520073
0.5,0,1,16,849.6619995114313
0.5,0,1,17,864.5254572171838
0.5,0,1,18,850.7549637171533
0.5,0,1,19,847.3464456825877
0.5,0,1,20,841.0325107912231
0.5,0,1,21,861.2471187052707
0.5,0,1,22,856.2288670756087
0.5,0,1,23,861.0950868329304
0.5,0,1,24,857.7996742154342
0.5,0,1,25,852.3279582769944
0.5,0,1,26,859.5407710593356
0.5,0,1,27,854.7999698498973
0.5,0,1,28,855.8302467350849
0.5,0,1,29,855.6766457096661
0.5,2,1,0,915.0302395813625
0.5,2,1,1,889.736172367305
0.5,2,1,2,895.0396776524902
0.5,2,1,3,900.0054500554453
0.5,2,1,4,921.4550901806854
0.5,2,1,5,880.9335187473491
0.5,2,1,6,889.0395785085112
0.5,2,1,7,907.8195660823327
0.5,2,1,8,884.3503373321802
0.5,2,1,9,898.6514133748561
0.5,2,1,10,898.1461273551934
0.5,2,1,11,896.0121201477486
0.5,2,1,12,896.4051779298017
0.5,2,1,13,895.6546669138321
0.5,2,1,14,894.3957081480586
0.5,2,1,15,877.1177154836605
0.5,2,1,16,893.1885375396671
0.5,2,1,17,908.907067285105
0.5,2,1,18,894.737611377713
0.5,2,1,19,886.2335318329414
0.5,2,1,20,893.1775503669809
0.5,2,1,21,900.7425347095774
0.5,2,1,22,898.862005781032
0.5,2,1,23,907.7489752132207
0.5,2,1,24,906.5984981244492
0.5,2,1,25,892.7544737214466
0.5,2,1,26,904.7274341667168
0.5,2,1,27,898.3698112173132
0.5,2,1,28,902.9583343612516
0.5,2,1,29,905.0348097256947
0.5,4,1,0,946.7252337055428
0.5,4,1,1,920.6773426486261
0.5,4,1,2,934.068665310057
0.5,4,1,3,935.4680451333093
0.5,4,1,4,956.1085578250181
0.5,4,1,5,912.7304565076836
0.5,4,1,6,923.7731198542939
0.5,4,1,7,942.8810008483788
0.5,4,1,8,921.3454610040664
0.5,4,1,9,929.2409573966611
0.5,4,1,10,935.157770680941
0.5,4,1,11,930.7684456213151
0.5,4,1,12,929.7869321280759
0.5,4,1,13,929.2300012380898
0.5,4,1,14,923.369656206895
0.5,4,1,15,915.7851171764486
0.5,4,1,16,928.7554452827366
0.5,4,1,17,952.0474323250108
0.5,4,1,18,929.4675609018375
0.5,4,1,19,916.6550106180725
0.5,4,1,20,924.7997549634047
0.5,4,1,21,935.257595457187
0.5,4,1,22,934.8873033468872
0.5,4,1,23,941.7972665251738
0.5,4,1,24,939.5747537462337
0.5,4,1,25,926.4986815514266
0.5,4,1,26,939.4537349168464
0.5,4,1,27,931.748823667075
0.5,4,1,28,936.4067321186499
0.5,4,1,29,943.4428877715694
0.5,6,1,0,919.4251342253456
0.5,6,1,1,895.8253178811708
0.5,6,1,2,912.5867155039491
0.5,6,1,3,910.334064686388
0.5,6,1,4,928.7677648281674
0.5,6,1,5,879.6304735061019
0.5,6,1,6,893.0454071933045
0.5,6,1,7,910.0991850940877
0.5,6,1,8,895.6128940532892
0.5,6,1,9,902.378428102375
0.5,6,1,10,905.003269324767
0.5,6,1,11,898.7840866628028
0.5,6,1,12,900.8834994022968
0.5,6,1,13,898.3602157526668
0.5,6,1,14,894.8460098068622
0.5,6,1,15,892.307071796002
0.5,6,1,16,899.2746151676711
0.5,6,1,17,917.1466214899858
0.5,6,1,18,899.860207941493
0.5,6,1,19,891.9099496483
0.5,6,1,20,893.3780510286085
0.5,6,1,21,910.9719210692974
0.5,6,1,22,906.3959040474915
0.5,6,1,23,916.2615775068125
0.5,6,1,24,908.84252249069
0.5,6,1,25,901.9529026770097
0.5,6,1,26,915.6570982031612
0.5,6,1,27,900.1175150030974
0.5,6,1,28,915.8385156693753
0.5,6,1,29,906.523376064009
